overall_rank,file_sha,repositories,occurrences,representative_name,sample_location,proposed_super_skill,review_status,novel_contribution,source_diversity_note
110,ddb07e807888d9c89dbf17be6d35b9225aaee707,187,237,tdd-workflow,25sidhx/withopus/antigravity-kit-main/antigravity-kit-main/.agent/skills/tdd-workflow/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 5; margin 5; near-duplicate lineage root; 2 top-1000 variants
111,f4a4f60e303ea5b603d0b26b31b4e09c660fbd91,187,226,plan-writing,25sidhx/withopus/antigravity-kit-main/antigravity-kit-main/.agent/skills/plan-writing/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",ambiguous metadata score 1
112,4aa23b710be4092c588a6d7e357aba0ab393497d,186,387,firebase-app-hosting-basics,0ksn/OksnTracker/.adal/skills/firebase-app-hosting-basics/SKILL.md,application-engineering,metadata-triaged,,metadata score 6; margin 6
113,be47b78100c8524c3af3681790d2bb8b9ff150b7,186,211,triage,0inp/dotfiles/claude/.agents/skills/triage/SKILL.md,"agent-tooling-and-orchestration,reasoning-modes",manual-review,,ambiguous metadata score 1
114,85e366160b0a4e036958475836ca8323768f0f90,186,209,python-testing,5onyy/essential-ai-agent-skills/.cursor/skills/python-testing/SKILL.md,"application-engineering,software-delivery",manual-review,,ambiguous metadata score 4
115,6a62d0441753157ca6ca50479e490c2948033adb,185,209,karpathy-guidelines,050603/jijiguowang/.agent/skills/karpathy-guidelines/SKILL.md,"reasoning-modes,software-delivery",manual-review,,ambiguous metadata score 1
116,1933545d57be0275ef5cac60fff332f279020e9e,183,256,verification-loop,0xAlgoRhythm/TranscriptRegistry/.claude/.agents/skills/verification-loop/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 4; margin 4
117,8fd8cf182a0118ae1b485a6e54e4296beed73ca9,182,225,multiplayer,AbdAllahGomaa-AG/AG_SPACE/ag-space/.agent/skills/game-development/multiplayer/SKILL.md,game-development,metadata-triaged,,metadata score 5; margin 4; near-duplicate lineage root; 2 top-1000 variants
118,df66775499470cece474fb5153894cbe1a34f985,182,201,cpp-coding-standards,5onyy/essential-ai-agent-skills/.cursor/skills/cpp-coding-standards/SKILL.md,"application-engineering,software-delivery",manual-review,,ambiguous metadata score 1
119,ffa10cad72cf6563482939dcc2c00c0aa3a2c220,181,278,openspec-explore,123fahrschule/command_kit/.devin/skills/openspec-explore/SKILL.md,software-delivery,metadata-triaged,,metadata score 3; margin 1; near-duplicate lineage root; 2 top-1000 variants
120,6f48930413b6b91a6f1abf5e5203b404f4822c02,181,231,3d-games,AbdAllahGomaa-AG/AG_SPACE/ag-space/.agent/skills/game-development/3d-games/SKILL.md,game-development,metadata-triaged,,metadata score 8; margin 8; near-duplicate lineage root; 2 top-1000 variants
121,87a6ab3cf1447a6f54600550d078cc1a5135205b,181,217,game-art,AadiGS/TorjanHorse_ET-5/panvel_extracted/panvel hackathon/frontend/.agent/skills/game-development/game-art/SKILL.md,game-development,metadata-triaged,,metadata score 4; margin 3; near-duplicate lineage root; 2 top-1000 variants
122,18fdac634970c086eee9c9eb1dc933402b39d963,181,213,ckm:banner-design,99anujb/Portfolio/ui-ux-pro-max-skill-main/.claude/skills/banner-design/SKILL.md,interface-design,metadata-triaged,,metadata score 8; margin 7; near-duplicate lineage root; 2 top-1000 variants
123,4fc2fa482940854fb98b49119212fdfea4d841e3,181,207,behavioral-modes,AadiGS/TorjanHorse_ET-5/panvel_extracted/panvel hackathon/frontend/.agent/skills/behavioral-modes/SKILL.md,reasoning-modes,metadata-triaged,,metadata score 4; margin 3; near-duplicate lineage root; 2 top-1000 variants
124,56e1266f56d1b681c8baaeb09eb4022a89b2e336,180,244,stitch-design-taste,30x-llc/Monet/skills/craft/stitch-skill/SKILL.md,interface-design,metadata-triaged,,metadata score 6; margin 5; near-duplicate lineage root; 2 top-1000 variants
125,682fea80b08a35552266feea7be97c6f6659e2dc,180,236,seo-fundamentals,25sidhx/withopus/antigravity-kit-main/antigravity-kit-main/.agent/skills/seo-fundamentals/SKILL.md,marketing-and-growth,reviewed-retained,"search discovery, technical quality, content utility, and measurement",metadata score 4; margin 4
126,4cd8ddfc40c3a8192edea826800f1f0ad3b748ed,180,209,writing-skills,25sidhx/withopus/antigravity-skills/antigravity-skills-main/skills/writing-skills/SKILL.md,agent-tooling-and-orchestration,metadata-triaged,,metadata score 3; margin 2; near-duplicate of rank 562; cosine >= 0.999
127,395a77b5f7e33911092f7bc86e7d87c4ca70d189,177,232,setup-pre-commit,0xAidan/polymarket-bot-test/.cursor/skills/setup-pre-commit/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 3; margin 3
128,ea7ac8fd8bca19812115831e665a620099e076ce,177,208,subagent-driven-development,352astro/byte_e2e_agent/backend/agent/skills/subagent-driven-development/SKILL.md,agent-tooling-and-orchestration,metadata-triaged,,metadata score 3; margin 3; near-duplicate of rank 72; cosine >= 0.974
129,448ca3193b0cd68dba36f73160be66a890fd66c4,176,273,writing-plans,1203992808/ChatGPTCaricature/.claude/skills/writing-plans/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 3; margin 3
130,b1603e5ac536d2b5c29496c06df4db0bb9f74e69,175,193,teach,0inp/dotfiles/claude/.claude/.agents/skills/teach/SKILL.md,reasoning-modes,manual-review,,ambiguous metadata score 1
131,12ffa034b4f40ccd989ab3a2413bae8c424d1c26,174,269,market-research,0xAlgoRhythm/TranscriptRegistry/.claude/.agents/skills/market-research/SKILL.md,marketing-and-growth,reviewed-retained,decision-led market research with sourced ranges and explicit uncertainty,metadata score 4; margin 4
132,60551c2a29773c0aa136421f3f602ba3ce8b7e67,173,184,liquid-glass-design,503496348-ops/mischief-production/skills/ecc-liquid-glass-design/SKILL.md,interface-design,metadata-triaged,,metadata score 5; margin 4
133,edd5ef67b3e1c41f31be9f3def7dad0034ef470c,172,189,django-tdd,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/django-tdd/SKILL.md,"application-engineering,software-delivery",manual-review,,ambiguous metadata score 4
134,b064716f604767a928c243a1ee40551fbeb4cc81,171,246,vercel-react-best-practices,0dot77/Rhizome/.gemini/skills/vercel-react-best-practices/SKILL.md,application-engineering,metadata-triaged,,metadata score 8; margin 7; near-duplicate of rank 182; cosine >= 0.993
135,b578dfa48a9a7c657b81916cad2b072c5934b1eb,171,205,subagent-driven-development,8tomat8/dotfiles/dot_config/opencode/skills/superpowers/subagent-driven-development/SKILL.md,agent-tooling-and-orchestration,metadata-triaged,,metadata score 3; margin 3; near-duplicate of rank 153; cosine >= 0.990
136,f1824ec178d21993066d2eaa8fe3fb66fec1c4c2,170,187,golang-testing,5onyy/essential-ai-agent-skills/.cursor/skills/golang-testing/SKILL.md,"application-engineering,software-delivery",manual-review,,ambiguous metadata score 4
137,7e84aa45a34f2da8c08cab6728bb40eb108ba752,168,205,obsidian-bases,1095327780/FLOWnote/bundled-skills/obsidian-bases/SKILL.md,document-productivity,metadata-triaged,,metadata score 4; margin 3
138,d9864cc401e1c9b786f15a99339cc29bd6949ca3,167,178,swift-concurrency-6-2,503496348-ops/mischief-production/skills/ecc-swift-concurrency-6-2/SKILL.md,application-engineering,metadata-triaged,,metadata score 4; margin 4
139,2304ca0e8444c9e2a5ea2814c35a60ce7a1fbc06,167,177,foundation-models-on-device,503496348-ops/mischief-production/skills/ecc-foundation-models-on-device/SKILL.md,,manual-review,,ambiguous metadata score 0
140,a79b493ea386d537208beacc41ad26336da257eb,167,173,improve-codebase-architecture,0xAidan/polymarket-bot-test/.cursor/skills/improve-codebase-architecture/SKILL.md,application-engineering,metadata-triaged,,metadata score 3; margin 2; near-duplicate lineage root; 2 top-1000 variants
141,b01a57af552a78784e3b966fc55c65e83242f65d,166,184,django-security,Abdullahmohammadaref/acar/.agents/skills/django-security copy/SKILL.md,"application-engineering,systems-and-security",manual-review,,ambiguous metadata score 5
142,c438c4ad53664664fbe607084fc3c12276e3ed7c,166,181,docker-patterns,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/docker-patterns/SKILL.md,application-engineering,reviewed-retained,"deployment-unit boundaries for configuration, privilege, health, and shutdown",metadata score 4; margin 3
143,e58d6187f3d2fa94927fccbdb06ea0314ac89b2c,165,236,ui-ux-pro-max,1694037135/armfi/skills/ui-ux-pro-max-skill-main/.claude/skills/ui-ux-pro-max/SKILL.md,interface-design,metadata-triaged,,metadata score 6; margin 4; near-duplicate lineage root; 5 top-1000 variants
144,d87df28e7d8abb4e57ecc6e47d71c274d16054c7,165,193,scaffold-exercises,0xAidan/polymarket-bot-test/.cursor/skills/scaffold-exercises/SKILL.md,software-delivery,manual-review,,ambiguous metadata score 1
145,605ef636339b1053badbcf3af6e5c900b0613375,165,186,eval-harness,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/eval-harness/SKILL.md,,manual-review,,ambiguous metadata score 0; near-duplicate lineage root; 2 top-1000 variants
146,fea12112db430034a2560872711e3f5d99795e10,165,183,cpp-testing,5onyy/essential-ai-agent-skills/.cursor/skills/cpp-testing/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 4; margin 3
147,d0972c37d851a23afb994ddf8bd5c0277addc954,165,178,swiftui-patterns,503496348-ops/mischief-production/skills/ecc-swiftui-patterns/SKILL.md,application-engineering,metadata-triaged,,metadata score 5; margin 4
148,d0f7e1a5ccb06a7184056ff9af02b67bc77f9dda,165,177,domain-modeling,0xAidan/polymarket-bot-test/.cursor/skills/domain-modeling/SKILL.md,application-engineering,reviewed-retained,domain language validated against scenarios and aligned with code contracts,metadata score 4; margin 4; near-duplicate lineage root; 2 top-1000 variants
149,450e46bf290ae31459ae09c5af341a1380a103c4,163,195,deployment-procedures,25sidhx/withopus/antigravity-kit-main/antigravity-kit-main/.agent/skills/deployment-procedures/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 5; margin 5
150,394a8359cbeb03e964abf257d184334069dd7cc1,163,174,visa-doc-translate,503496348-ops/mischief-production/skills/ecc-visa-doc-translate/SKILL.md,document-productivity,manual-review,,ambiguous metadata score 2
151,2dd66850b52d775265699fdf1810273169d37a67,163,173,planning-and-task-breakdown,1101hirokin/chezmoi-dotfiles/dot_claude/skills/planning-and-task-breakdown/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 3; margin 3
152,922aec09b9f3db1972e9925869863fa62424a0c8,162,178,golang-patterns,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/golang-patterns/SKILL.md,application-engineering,reviewed-no-new-contribution,"covered by existing architecture, contract, persistence, runtime, or verification rules",metadata score 4; margin 4
153,a9a94547a838904650d1de827d85f9043e926c0b,161,276,subagent-driven-development,1203992808/ChatGPTCaricature/.claude/skills/subagent-driven-development/SKILL.md,agent-tooling-and-orchestration,metadata-triaged,,metadata score 3; margin 3; near-duplicate of rank 135; cosine >= 0.990
154,8fb2c9de2bbba52b53ca243fbfdab650ee61711c,161,195,json-canvas,1797127235/Lumen/lib/skills/builtins/json-canvas/SKILL.md,document-productivity,metadata-triaged,,metadata score 5; margin 5
155,2820d9612c9939fbf7dea6c8e021022648f4ab8e,161,178,frontend-slides,ASoudy/AGS/claude_skills_libraries/landing-page-mastery/skills/frontend-slides/SKILL.md,document-productivity,metadata-triaged,,metadata score 4; margin 3; near-duplicate lineage root; 2 top-1000 variants
156,c12b263bed311d85cbcedcda7e36867eda541ddc,161,172,improve-codebase-architecture,071yoon/useful-skills/plugins/useful-skills/skills/improve-codebase-architecture/SKILL.md,application-engineering,metadata-triaged,,metadata score 4; margin 3; near-duplicate lineage root; 2 top-1000 variants
157,9b1f851aaad8761d463392a9895b0276623d4659,160,220,openspec-archive-change,Arian1192/dotfiles/opencode/.config/opencode/.opencode/skills/openspec-archive-change/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 3; margin 3; near-duplicate lineage root; 3 top-1000 variants
158,f400de7c1937377fec7ff9bae3b0c072670f1e81,160,178,diagnosing-bugs,0inp/dotfiles/claude/.agents/skills/diagnosing-bugs/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 4; margin 4; near-duplicate of rank 38; cosine >= 0.988
159,8819c4f4b2a3cb0f52075988da54003798dfc3a6,159,178,kotlin-testing,Adaptive-Liquidity/aeon-lab/.kiro/skills/kotlin-testing/SKILL.md,"application-engineering,software-delivery",manual-review,,ambiguous metadata score 4
160,744444e4df385e9b9160e23fba02321062dfba9a,158,191,claude-md-improver,420company/artemis/skills/cco-claude-md-management-claude-md-improver/SKILL.md,,manual-review,,ambiguous metadata score 0
161,ed3f7d68306004def5a4ee22a54d2387f1d82827,158,190,red-team-tactics,AadiGS/TorjanHorse_ET-5/panvel_extracted/panvel hackathon/frontend/.agent/skills/red-team-tactics/SKILL.md,systems-and-security,metadata-triaged,,metadata score 4; margin 4
162,bcccaf9e12dc61bbdf8ba7448b78373b7f7f2b5d,158,176,deployment-patterns,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/deployment-patterns/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 4; margin 3
163,5e75d2710119f8e92d797f87cedce0b42cefc63d,158,175,kotlin-patterns,Adaptive-Liquidity/aeon-lab/.kiro/skills/kotlin-patterns/SKILL.md,application-engineering,reviewed-no-new-contribution,"covered by existing architecture, contract, persistence, runtime, or verification rules",metadata score 4; margin 4
164,f80be15621dac2b817368817128f505ceb55162d,156,269,supabase-postgres-best-practices,25sidhx/withopus/antigravity-skills-main/skills/supabase-postgres-best-practices/SKILL.md,application-engineering,reviewed-no-new-contribution,"covered by existing architecture, contract, persistence, runtime, or verification rules",metadata score 8; margin 8; near-duplicate of rank 34; cosine >= 0.999
165,05984a609682e0b6aa49fcfa967e95cf36b4f152,156,190,improve-codebase-architecture,1stNox/no-more-bs/templates/skills/improve-codebase-architecture/SKILL.md,application-engineering,metadata-triaged,,metadata score 4; margin 3; near-duplicate of rank 156; cosine >= 0.856
166,144e9a0c30f7cdd3c59882d67a15c52232137243,155,240,bun-runtime,0xAlgoRhythm/TranscriptRegistry/.claude/.agents/skills/bun-runtime/SKILL.md,"application-engineering,document-productivity",manual-review,,ambiguous metadata score 1
167,c8f790aac0fd8ae01f057f692d233eebe97ebbd7,155,168,springboot-verification,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/springboot-verification/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 5; margin 1
168,efa413fd7373d92c56598e721b63167207f0f50c,154,212,cavecrew,1genei/minipilote/.claude/skills/cavecrew/SKILL.md,"agent-tooling-and-orchestration,reasoning-modes",manual-review,,ambiguous metadata score 1
169,73c4b0fed029de63431a7fc328c714ff04ad8ed8,154,183,neon-postgres,420company/artemis/skills/cco-neon-neon-postgres/SKILL.md,application-engineering,reviewed-no-new-contribution,"covered by existing architecture, contract, persistence, runtime, or verification rules",metadata score 5; margin 5
170,feeca9208a4aa43d2dbddf36d3ee53123e2076ff,154,173,springboot-security,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/springboot-security/SKILL.md,systems-and-security,metadata-triaged,,metadata score 5; margin 1
171,d9e6f12fe51f61225fde6844dba8c3edf530703f,153,237,content-research-writer,18studio/ai_fastapi_template/.ai/skills/content-research-writer/SKILL.md,,manual-review,,ambiguous metadata score 0
172,bebd018cdcae1771eacdee30cfb96af3ad3bd936,153,204,workers-best-practices,420company/artemis/skills/cco-cloudflare-workers-best-practices/SKILL.md,application-engineering,reviewed-no-new-contribution,"covered by existing architecture, contract, persistence, runtime, or verification rules",ambiguous metadata score 1
173,ec59113de529bc58ae07dedb65defc1394afa5b0,153,172,laravel-patterns,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/laravel-patterns/SKILL.md,application-engineering,reviewed-no-new-contribution,"covered by existing architecture, contract, persistence, runtime, or verification rules",metadata score 7; margin 7
174,21b484a1c67eb5fe71a2bf42c19df6a9c62baab4,153,170,rust-testing,5onyy/essential-ai-agent-skills/.cursor/skills/rust-testing/SKILL.md,"application-engineering,software-delivery",manual-review,,ambiguous metadata score 4
175,8e5287102e5518504b7d44aecea59ca0794db16f,152,272,nextjs-turbopack,0xAlgoRhythm/TranscriptRegistry/.claude/.agents/skills/nextjs-turbopack/SKILL.md,application-engineering,reviewed-no-new-contribution,"covered by existing architecture, contract, persistence, runtime, or verification rules",metadata score 4; margin 4
176,d27bc5312cac823cc4b30d7d28eed9cd17b7a168,152,195,openspec-propose,123fahrschule/command_kit/.devin/skills/openspec-propose/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 3; margin 3; near-duplicate lineage root; 2 top-1000 variants
177,3c077190ce51317b8d38374aed1063197910fca6,152,189,templates,104dk/antigravity/.agent/skills/app-builder/templates/SKILL.md,,manual-review,,ambiguous metadata score 0; near-duplicate lineage root; 2 top-1000 variants
178,0290566e78db5a448420a7cc12b5acd48bd601dd,152,169,agentic-engineering,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/agentic-engineering/SKILL.md,agent-tooling-and-orchestration,metadata-triaged,,metadata score 4; margin 4
179,900957d0ca3c765db659e8f85dccb5c5e467ffb9,152,164,regex-vs-llm-structured-text,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/regex-vs-llm-structured-text/SKILL.md,reasoning-modes,manual-review,,ambiguous metadata score 1
180,85cb198652e603fe9cf707355a582ad398ae017a,151,237,expo-api-routes,0xarcano/UXWallet/frontend/.agents/skills/expo-api-routes/SKILL.md,application-engineering,reviewed-no-new-contribution,"covered by existing architecture, contract, persistence, runtime, or verification rules",metadata score 4; margin 4
181,dcc37e047cbd9e95f15c06dfa9bff860214acf92,151,158,performance-optimization,1101hirokin/chezmoi-dotfiles/dot_claude/skills/performance-optimization/SKILL.md,,manual-review,,ambiguous metadata score 0
182,25bbe87e4530ccba634113b16f329afcdbf1eef7,150,215,vercel-react-best-practices,0xharryriddle/codex-field-kit/archive/upstream/examples/codex-skills/skills/vercel-react-best-practices/SKILL.md,application-engineering,metadata-triaged,,metadata score 8; margin 7; near-duplicate of rank 134; cosine >= 0.993
183,c1b2533f489ab7f8fd01225a0edfd709271c0a39,150,197,executing-plans,8tomat8/dotfiles/dot_config/opencode/skills/superpowers/executing-plans/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 3; margin 3; near-duplicate lineage root; 2 top-1000 variants
184,4285e5e6419e87bb2250daf2cafe099c1aab1e80,150,171,imagegen,1Keria/Agentic-kv-cache-management/Agent/codex/codex-rs/skills/src/assets/samples/imagegen/SKILL.md,interface-design,metadata-triaged,,metadata score 6; margin 6; near-duplicate lineage root; 2 top-1000 variants
185,c1000fae66ba993d2796a4881ce5708d5e9cc416,150,158,cost-aware-llm-pipeline,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/cost-aware-llm-pipeline/SKILL.md,application-engineering,reviewed-no-new-contribution,"covered by existing architecture, contract, persistence, runtime, or verification rules",ambiguous metadata score 1
186,84a1cf0132c7f0921441202e3d1c45068fc0f407,149,239,expo-dev-client,0xarcano/UXWallet/frontend/.agents/skills/expo-dev-client/SKILL.md,,manual-review,,ambiguous metadata score 0
187,578b7299cc38db90f176c4c956c2458f4b2dd04d,149,182,testing-patterns,25sidhx/dayo/.agents/skills/testing-patterns/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 4; margin 4
188,3b20b610f72169d91386e70e2da73f56fb7f1c63,149,177,code-review-checklist,25sidhx/dayo/.agents/skills/code-review-checklist/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 4; margin 3
189,1b4963f5dc12fdec7a9c11f68f9445c4b3a40269,149,168,android-clean-architecture,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/android-clean-architecture/SKILL.md,application-engineering,reviewed-no-new-contribution,"covered by existing architecture, contract, persistence, runtime, or verification rules",metadata score 5; margin 5
190,04aec68becde63e5c1ea14a36c2a9ed51cedc056,148,208,enhance-prompt,Akkii88/Secure180/.kilocode/skills/enhance-prompt/SKILL.md,interface-design,manual-review,,ambiguous metadata score 2
191,729318c3f9e0edd66408f2ffd2fa1371b14ac686,148,196,caveman-commit,Adit-Jain-srm/MediaOS/.cursor/skills/caveman-commit/SKILL.md,reasoning-modes,metadata-triaged,,metadata score 4; margin 3; near-duplicate lineage root; 2 top-1000 variants
192,118456fcb10225c030769a4fee7815b9c536b0ce,148,161,ci-cd-and-automation,1101hirokin/chezmoi-dotfiles/dot_claude/skills/ci-cd-and-automation/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 5; margin 5
193,29cd83411d3a5daddf26944a2a8e9bbd4b3febcf,148,158,agent-harness-construction,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/agent-harness-construction/SKILL.md,agent-tooling-and-orchestration,reviewed-retained,observation contracts and recovery-aware action-space design,metadata score 8; margin 8
194,43aec9ae8e8ed6b2e5a4706f811c4c88ffad5e81,147,176,frontend-design,23-prabhat/WINGS-Team-Diva_p2/codebase-intelligence-agent/.claude/skills/frontend-design/SKILL.md,interface-design,metadata-triaged,,metadata score 3; margin 3; near-duplicate of rank 23; cosine >= 1.000
195,04f5c13c5d3cb4d156f69a4d40692c422e940e9e,146,258,postgresql,404TradeOS-LLC/TradeOScostbook/packages/knowledge-engine/agent-skills/skills/postgresql/SKILL.md,application-engineering,reviewed-no-new-contribution,"covered by existing architecture, contract, persistence, runtime, or verification rules",metadata score 4; margin 4
196,dcecd8e3f356c73f340676cfcefb33539435e987,146,204,vercel-react-view-transitions,071yoon/useful-skills/plugins/useful-skills/skills/vercel-react-view-transitions/SKILL.md,application-engineering,reviewed-no-new-contribution,"covered by existing architecture, contract, persistence, runtime, or verification rules",metadata score 8; margin 2
197,239b2848489511de30d9e63b0bd183adc4b01347,146,158,code-simplification,1101hirokin/chezmoi-dotfiles/dot_claude/skills/code-simplification/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",ambiguous metadata score 1
198,ca77290c84566a826e21007767ae887dc4453b22,145,236,executing-plans,1203992808/ChatGPTCaricature/.claude/skills/executing-plans/SKILL.md,software-delivery,metadata-triaged,,metadata score 3; margin 3; near-duplicate of rank 183; cosine >= 0.936
199,10c9522f819d7d37baf415d82a6fef8460cdcc00,145,162,kotlin-ktor-patterns,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/kotlin-ktor-patterns/SKILL.md,application-engineering,reviewed-no-new-contribution,"covered by existing architecture, contract, persistence, runtime, or verification rules",metadata score 5; margin 4
200,f4caec1e0756c8542f09ba5bcd9dd155d12034e1,145,161,compose-multiplatform-patterns,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/compose-multiplatform-patterns/SKILL.md,interface-design,manual-review,,ambiguous metadata score 1
201,c29a0feb9c06c2fb48dc9114988382e06b1f9d9b,144,223,design-md,Aurora-AI/Mad-Lab-Aurora/.aurora/skills/design-md/SKILL.md,interface-design,manual-review,,ambiguous metadata score 1; near-duplicate lineage root; 2 top-1000 variants
202,39417d3f67cdf427aac2709fe97d40e9b0f4f855,144,173,systematic-debugging,25sidhx/dayo/.agents/skills/systematic-debugging/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 5; margin 5
203,80cc2b2b6165ed0de7592189605bd2c5affb0ce7,144,161,rust-patterns,5onyy/essential-ai-agent-skills/.cursor/skills/rust-patterns/SKILL.md,application-engineering,reviewed-no-new-contribution,"covered by existing architecture, contract, persistence, runtime, or verification rules",metadata score 4; margin 4
204,c08d182636fe19e4d78a1aec6e9c08275297d4a4,143,160,perl-patterns,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/perl-patterns/SKILL.md,,manual-review,,ambiguous metadata score 0
205,7029916a5687f9679256ae634e3388c9ad1721d4,143,158,perl-testing,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/perl-testing/SKILL.md,software-delivery,reviewed-no-new-contribution,"covered by existing planning, testing, debugging, review, deployment, or completion rules",metadata score 4; margin 4
206,d4f8d66235603ebacc0ccef2f25758c7d623c8b2,143,151,jpa-patterns,AdmiralGallade/harness-repository/harnesses/everything-claude-code/skills/jpa-patterns/SKILL.md,application-engineering,reviewed-no-new-contribution,"covered by existing architecture, contract, persistence, runtime, or verification rules",ambiguous metadata score 2
