rank,file_sha,representative_name,super_skill,decision,decision_code,reason_detail,covered_by,duplicate_of_file_sha
54,e67f94c57322affec23f8a02268834b2d0e9ae70,executing-plans,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the planning synthesis.,research/synthesis-matrices/software-delivery.md::Planning,
55,7339c8a38d6c2e1ee5fd721327bca3441a9408be,write-a-skill,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the skill creation synthesis.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Skill creation,
56,03ed209b8fdc0a3cd6bccf8a5b3bfffe56aa4558,gpt-taste,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the creative direction synthesis.,research/synthesis-matrices/interface-design.md::Creative direction,
57,0d9c00ba7c3107e76fd0fb71f7f8e337e64b5037,writing-plans,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the planning synthesis.,research/synthesis-matrices/software-delivery.md::Planning,
58,43da0ae169d3e7ee0f4586cf720430829ad2f426,finishing-a-development-branch,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the completion synthesis.,research/synthesis-matrices/software-delivery.md::Completion,
59,f0e33952c8d614b8d0d3fd3f037b81c91b148f39,requesting-code-review,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the review synthesis.,research/synthesis-matrices/software-delivery.md::Review,
60,1ebc6e14c126792dd48d946beb983e7519a7dac4,setup-matt-pocock-skills,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the discovery synthesis.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Discovery,
61,4dea97a8c9759cb81a7541c504a2dbba9c4a3e64,game-design,game-development,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the core design synthesis.,research/synthesis-matrices/game-development.md::Core design,
62,4038f41ec0137ec92e98ed0151fe3b7038b9329e,high-end-visual-design,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the creative direction synthesis.,research/synthesis-matrices/interface-design.md::Creative direction,
63,40699358f2f8098e860838cd68b0382a31c72262,skill-creator,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the skill creation synthesis.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Skill creation,
64,a5830a8675523c1397288e92ff66d9c6724f4503,tailwind-patterns,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the creative direction synthesis.,research/synthesis-matrices/interface-design.md::Creative direction,
65,77ad3c257a12c7a88740161f3c086203fd2775db,game-audio,game-development,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the audio synthesis.,research/synthesis-matrices/game-development.md::Audio,
66,6be120e7769b76216f2dfb1f28b7e8727a3e8f03,pc-games,game-development,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the platforms synthesis.,research/synthesis-matrices/game-development.md::Platforms,
67,a45aca06d84dfd2a5297ba162704d456574a6df8,api-design,application-engineering,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the apis synthesis.,research/synthesis-matrices/application-engineering.md::APIs,
68,f2a8f8dd25042425387d23f35b53e5c237178dcf,ckm:ui-styling,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the systems synthesis.,research/synthesis-matrices/interface-design.md::Systems,
69,cfbcba0c8d36e5dd8a20ad00c6e9df53ec4a1341,ckm:design-system,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the systems synthesis.,research/synthesis-matrices/interface-design.md::Systems,
70,313626ac2f4c9c65f7b8267fdc974abb1dc797d3,skill-installer,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the discovery synthesis.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Discovery,
71,d19f8de112252ea88724c540647cad85b7653d46,image-to-code,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the image-to-code synthesis.,research/synthesis-matrices/interface-design.md::Image-to-code,
72,5150b18632aab99596c87d38cbf56709c1068028,subagent-driven-development,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the orchestration synthesis.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Orchestration,
73,0563199141a715ca7fd1aaaccfb4ac767b1d6f26,e2e-testing,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the testing synthesis.,research/synthesis-matrices/software-delivery.md::Testing,
74,f91d0065a6273a16425c3e4c54ad900bfe91a956,mobile-games,game-development,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the platforms synthesis.,research/synthesis-matrices/game-development.md::Platforms,
75,fe7c8d90c85bd0de5640f7c4db522659537bbb5e,requesting-code-review,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the review synthesis.,research/synthesis-matrices/software-delivery.md::Review,
76,1c4a37fb294a02d1fab922ea4fb7542c8e5e1432,ckm:design,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the creative direction synthesis.,research/synthesis-matrices/interface-design.md::Creative direction,
77,ccc3a2f84f529ee7faafcfe0a71678447675056f,design-taste-frontend,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the creative direction synthesis.,research/synthesis-matrices/interface-design.md::Creative direction,
78,a3f8d24b4b328b27db5d0c415b57b252e007a118,2d-games,game-development,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the simulation synthesis.,research/synthesis-matrices/game-development.md::Simulation,
79,bd42475e6672bb49969bba928575a775cb8ec76c,vr-ar,game-development,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the xr synthesis.,research/synthesis-matrices/game-development.md::XR,
80,34b8340486d06fcfd5d25a08fa1435b15b234eea,requesting-code-review,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the review synthesis.,research/synthesis-matrices/software-delivery.md::Review,
81,847412ece1ee0c3582f7c04d1f2f7db2988dba1c,writing-plans,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the planning synthesis.,research/synthesis-matrices/software-delivery.md::Planning,
82,97f16882f1b6f6388ed2f4b96635f52ac7c92859,vulnerability-scanner,systems-and-security,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the security synthesis.,research/synthesis-matrices/systems-and-security.md::Security,
83,d76399f666af97ac8c142928e02602d9732e78aa,brandkit,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the systems synthesis.,research/synthesis-matrices/interface-design.md::Systems,
84,fbd4bef4b487db377aa9f5c3989cb6be14e82421,api-patterns,application-engineering,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the apis synthesis.,research/synthesis-matrices/application-engineering.md::APIs,
85,20886339dba853832087af4cb71c80389d5cad2c,game-development,game-development,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the core design synthesis.,research/synthesis-matrices/game-development.md::Core design,
86,57f4e58b10cec3b0d2b3eccfd510201fefa140eb,skill-creator,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the skill creation synthesis.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Skill creation,
87,1b0459cad42ca0bc93f1ed6377f68402dfa9704d,powershell-windows,systems-and-security,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the powershell synthesis.,research/synthesis-matrices/systems-and-security.md::PowerShell,
88,bca51a429c020a4cb6740a917517116e66d428b1,obsidian-markdown,document-productivity,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the knowledge notes synthesis.,research/synthesis-matrices/document-productivity.md::Knowledge notes,
89,a591862734d39d188a6741874b2678702617f038,executing-plans,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the planning synthesis.,research/synthesis-matrices/software-delivery.md::Planning,
90,c9ef8a261f80e0c37dc73300ce90679e946c4407,mcp-builder,agent-tooling-and-orchestration,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the tool design synthesis.,research/synthesis-matrices/agent-tooling-and-orchestration.md::Tool design,
91,48f4adbfc00f79e447f9c9ebd48044f58aaccdca,caveman-review,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the review synthesis.,research/synthesis-matrices/software-delivery.md::Review,
92,164e31ccea0175347681dd64657f3d316878a94c,python-patterns,application-engineering,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the runtimes synthesis.,research/synthesis-matrices/application-engineering.md::Runtimes,
93,f5abcacc8f71810416ace2eddc6507c70a5872db,nodejs-best-practices,application-engineering,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the runtimes synthesis.,research/synthesis-matrices/application-engineering.md::Runtimes,
94,2fd19ba1e67d66ee97b178e6691611b9975a82d3,brainstorming,reasoning-modes,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the brainstorming synthesis.,research/synthesis-matrices/reasoning-modes.md::Brainstorming,
95,40c24a0b3f17317bce3022489e3be7d333724895,database-design,application-engineering,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the data synthesis.,research/synthesis-matrices/application-engineering.md::Data,
96,0218363b61adb75713c014a4856bfe3a7de65419,mobile-design,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the mobile synthesis.,research/synthesis-matrices/interface-design.md::Mobile,
97,134d37140b1b21560f9bab28476a8c06406d64df,using-git-worktrees,software-delivery,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the isolation synthesis.,research/synthesis-matrices/software-delivery.md::Isolation,
98,4776fcf741c14e0579b0927a44c976a40dc7d378,bash-linux,systems-and-security,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the shell operation synthesis.,research/synthesis-matrices/systems-and-security.md::Shell operation,
99,035a1960a4e8a87d1cdc10fd1d1d63d4855e5409,ckm:brand,interface-design,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the systems synthesis.,research/synthesis-matrices/interface-design.md::Systems,
100,7def430731339070bd67db56ac45e1728e3c0eb6,django-patterns,application-engineering,retained,retained-synthesis-evidence,Initial substantive review retained this hash as distinct evidence for the architecture synthesis.,research/synthesis-matrices/application-engineering.md::Architecture,
101,3e4f6ad3411d31cd53c90f3d7e1d6e266cd211f8,architecture,application-engineering,retained,retained-synthesis-evidence,"Retained because review identified architecture decision record: constraints, alternatives, rationale, and revisit signal.",research/synthesis-matrices/application-engineering.md::Architecture,
102,e392706af5d1b6b7c03738526c1251f122873f1e,investor-materials,marketing-and-growth,retained,retained-synthesis-evidence,Retained because review identified cross-asset factual consistency for fundraising materials.,research/synthesis-matrices/marketing-and-growth.md::Fundraising,
107,d943c68219d0f47512f10c5018a11fd8358e9bb5,git-guardrails-claude-code,software-delivery,retained,retained-synthesis-evidence,Retained because review identified durable narrow guardrails for destructive developer operations.,research/synthesis-matrices/software-delivery.md::Planning,
110,ddb07e807888d9c89dbf17be6d35b9225aaee707,tdd-workflow,software-delivery,not-retained,not-retained-covered,Substantive review found no material testing decision in tdd-workflow that was not already represented by the cited synthesis rule.,research/synthesis-matrices/software-delivery.md::Testing,
111,f4a4f60e303ea5b603d0b26b31b4e09c660fbd91,plan-writing,software-delivery,not-retained,not-retained-covered,Substantive review found no material planning decision in plan-writing that was not already represented by the cited synthesis rule.,research/synthesis-matrices/software-delivery.md::Planning,
116,1933545d57be0275ef5cac60fff332f279020e9e,verification-loop,software-delivery,not-retained,not-retained-covered,Substantive review found no material completion decision in verification-loop that was not already represented by the cited synthesis rule.,research/synthesis-matrices/software-delivery.md::Completion,
125,682fea80b08a35552266feea7be97c6f6659e2dc,seo-fundamentals,marketing-and-growth,retained,retained-synthesis-evidence,"Retained because review identified search discovery, technical quality, content utility, and measurement.",research/synthesis-matrices/marketing-and-growth.md::Search,
127,395a77b5f7e33911092f7bc86e7d87c4ca70d189,setup-pre-commit,software-delivery,not-retained,not-retained-product-specific,"Review found that setup-pre-commit instantiated the existing durable guardrails rule for a particular tool or mechanism without adding a new mode, constraint, conflict, safeguard, or evaluation boundary.",research/synthesis-matrices/software-delivery.md::Durable guardrails,
129,448ca3193b0cd68dba36f73160be66a890fd66c4,writing-plans,software-delivery,not-retained,not-retained-covered,Substantive review found no material planning decision in writing-plans that was not already represented by the cited synthesis rule.,research/synthesis-matrices/software-delivery.md::Planning,
131,12ffa034b4f40ccd989ab3a2413bae8c424d1c26,market-research,marketing-and-growth,retained,retained-synthesis-evidence,Retained because review identified decision-led market research with sourced ranges and explicit uncertainty.,research/synthesis-matrices/marketing-and-growth.md::Research,
142,c438c4ad53664664fbe607084fc3c12276e3ed7c,docker-patterns,application-engineering,retained,retained-synthesis-evidence,"Retained because review identified deployment-unit boundaries for configuration, privilege, health, and shutdown.",research/synthesis-matrices/application-engineering.md::Architecture,
146,fea12112db430034a2560872711e3f5d99795e10,cpp-testing,software-delivery,not-retained,not-retained-context-specific,"Review found that cpp-testing's generalizable testing guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/software-delivery.md::Testing,
148,d0f7e1a5ccb06a7184056ff9af02b67bc77f9dda,domain-modeling,application-engineering,retained,retained-synthesis-evidence,Retained because review identified domain language validated against scenarios and aligned with code contracts.,research/synthesis-matrices/application-engineering.md::Architecture,
149,450e46bf290ae31459ae09c5af341a1380a103c4,deployment-procedures,software-delivery,not-retained,not-retained-covered,Substantive review found no material completion decision in deployment-procedures that was not already represented by the cited synthesis rule.,research/synthesis-matrices/software-delivery.md::Completion,
151,2dd66850b52d775265699fdf1810273169d37a67,planning-and-task-breakdown,software-delivery,not-retained,not-retained-covered,Substantive review found no material planning decision in planning-and-task-breakdown that was not already represented by the cited synthesis rule.,research/synthesis-matrices/software-delivery.md::Planning,
152,922aec09b9f3db1972e9925869863fa62424a0c8,golang-patterns,application-engineering,not-retained,not-retained-context-specific,"Review found that golang-patterns's generalizable runtimes guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/application-engineering.md::Runtimes,
157,9b1f851aaad8761d463392a9895b0276623d4659,openspec-archive-change,software-delivery,not-retained,not-retained-product-specific,"Review found that openspec-archive-change instantiated the existing planning rule for a particular tool or mechanism without adding a new mode, constraint, conflict, safeguard, or evaluation boundary.",research/synthesis-matrices/software-delivery.md::Planning,
158,f400de7c1937377fec7ff9bae3b0c072670f1e81,diagnosing-bugs,software-delivery,not-retained,not-retained-near-duplicate,Review found diagnosing-bugs to be a near-duplicate lineage of reviewed rank 38; it added no material behavior beyond the existing debugging synthesis.,research/synthesis-matrices/software-delivery.md::Debugging,ed55bda2fdb0d690ea3b80a1cf28bf848c5ad2b5
162,bcccaf9e12dc61bbdf8ba7448b78373b7f7f2b5d,deployment-patterns,software-delivery,not-retained,not-retained-covered,Substantive review found no material completion decision in deployment-patterns that was not already represented by the cited synthesis rule.,research/synthesis-matrices/software-delivery.md::Completion,
163,5e75d2710119f8e92d797f87cedce0b42cefc63d,kotlin-patterns,application-engineering,not-retained,not-retained-context-specific,"Review found that kotlin-patterns's generalizable runtimes guidance was already represented; the remaining material was specific to its framework, language, or platform and did not change a category rule.",research/synthesis-matrices/application-engineering.md::Runtimes,
