rank,super_skill,category,skill_name,file_sha,repositories,occurrences,reference_repository,reference_path,reference_commit,reference_url,license_metadata,provenance_status,reuse_policy
11,document-productivity,"Documents, productivity and workplace content",xlsx,c5c881be9ebaa2bfcdd02f97de2ebd711ab78803,554,737,anthropics/skills,skills/xlsx/SKILL.md,4e6907a33c3c0c9ce7c1836980546aaba78a34b5,https://github.com/anthropics/skills/blob/4e6907a33c3c0c9ce7c1836980546aaba78a34b5/skills/xlsx/SKILL.md,Anthropic file-level terms (source-available),upstream exact Git blob and file-level terms verified,"ideas-only synthesis; no source prose, code, or assets copied"
12,interface-design,"UI/UX, frontend, visual and brand design",canvas-design,9f63fee82de84cd4230e1d0e322247b61eb4c94c,550,796,25sidhx/withopus,antigravity-skills-main/skills/canvas-design/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-skills-main/skills/canvas-design/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
13,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,skill-creator,65b3a402dbd09b8e83f9d637c6b553875189085c,532,663,1797127235/Lumen,lib/skills/builtins/skill-creator/SKILL.md,,https://github.com/1797127235/Lumen/blob/HEAD/lib/skills/builtins/skill-creator/SKILL.md,MIT,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
14,document-productivity,"Documents, productivity and workplace content",pdf,d3e046a5ae107a6cb23cfb16c219837094ab35d3,493,633,anthropics/skills,skills/pdf/SKILL.md,4e6907a33c3c0c9ce7c1836980546aaba78a34b5,https://github.com/anthropics/skills/blob/4e6907a33c3c0c9ce7c1836980546aaba78a34b5/skills/pdf/SKILL.md,Anthropic file-level terms (source-available),upstream exact Git blob and file-level terms verified,"ideas-only synthesis; no source prose, code, or assets copied"
15,document-productivity,"Documents, productivity and workplace content",docx,2951e559989765293b6fbf83942378a3c2d0cba6,472,598,anthropics/skills,skills/docx/SKILL.md,3d59511518591fa82e6cfcf0438d68dd5dad3e76,https://github.com/anthropics/skills/blob/3d59511518591fa82e6cfcf0438d68dd5dad3e76/skills/docx/SKILL.md,Anthropic file-level terms (source-available),upstream exact Git blob and file-level terms verified,"ideas-only synthesis; no source prose, code, or assets copied"
16,interface-design,"UI/UX, frontend, visual and brand design",slack-gif-creator,16660d8ceb77af47986bba1c9176c2ff3f287a91,469,647,234194027-cpu/xianclaw,resources/openclaw/config/skills/slack-gif-creator/SKILL.md,,https://github.com/234194027-cpu/xianclaw/blob/HEAD/resources/openclaw/config/skills/slack-gif-creator/SKILL.md,MIT,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
17,interface-design,"UI/UX, frontend, visual and brand design",algorithmic-art,634f6fa42e4e697fa6afd293acd7fb8246574876,458,614,25sidhx/withopus,antigravity-skills-main/skills/algorithmic-art/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-skills-main/skills/algorithmic-art/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
18,document-productivity,"Documents, productivity and workplace content",xlsx,22db189c8b17d48f94f11fa0c45343441239ff40,451,708,anthropics/skills,skills/xlsx/SKILL.md,ef740771ac901e03fbca3ce4e1c453a96010f30a,https://github.com/anthropics/skills/blob/ef740771ac901e03fbca3ce4e1c453a96010f30a/skills/xlsx/SKILL.md,Anthropic file-level terms (source-available),upstream exact Git blob and file-level terms verified,"ideas-only synthesis; no source prose, code, or assets copied"
19,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,dispatching-parallel-agents,a6a3f5a0798318edb6ccef716cfecce92a50d914,435,531,25sidhx/withopus,antigravity-skills-main/skills/dispatching-parallel-agents/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-skills-main/skills/dispatching-parallel-agents/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
20,reasoning-modes,"Interaction, reasoning and response modes",grill-me,bd04394c675ee54173a093c50eb74da01a2940fa,420,497,0xrsydn/darwin-dotfiles,pi/skills/grill-me/SKILL.md,,https://github.com/0xrsydn/darwin-dotfiles/blob/HEAD/pi/skills/grill-me/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
21,reasoning-modes,"Interaction, reasoning and response modes",brainstorming,06cd0a21ee771f6bb7aaba9341a77ca09a8c7d04,415,508,352astro/byte_e2e_agent,backend/agent/skills/brainstorming/SKILL.md,,https://github.com/352astro/byte_e2e_agent/blob/HEAD/backend/agent/skills/brainstorming/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
22,document-productivity,"Documents, productivity and workplace content",doc-coauthoring,a5a69839ef4a161131d80b6daef10037a9686f4a,410,544,anthropics/skills,skills/doc-coauthoring/SKILL.md,00756142ab04c82a447693cf373c4e0c554d1005,https://github.com/anthropics/skills/blob/00756142ab04c82a447693cf373c4e0c554d1005/skills/doc-coauthoring/SKILL.md,unknown (no file-level license found at verified commit),upstream exact Git blob verified; file-level terms unresolved,"ideas-only synthesis; no source prose, code, or assets copied"
23,interface-design,"UI/UX, frontend, visual and brand design",frontend-design,600b6db41fac7e2081c7528ec6982960892c819d,408,558,1-ken/fx-alert,.cursor/SKILL.md,,https://github.com/1-ken/fx-alert/blob/HEAD/.cursor/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
25,document-productivity,"Documents, productivity and workplace content",pptx,b93b875fe11cf805bdfbbe5f0e7878a7562896ac,391,591,anthropics/skills,skills/pptx/SKILL.md,ef740771ac901e03fbca3ce4e1c453a96010f30a,https://github.com/anthropics/skills/blob/ef740771ac901e03fbca3ce4e1c453a96010f30a/skills/pptx/SKILL.md,Anthropic file-level terms (source-available),upstream exact Git blob and file-level terms verified,"ideas-only synthesis; no source prose, code, or assets copied"
26,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,skill-creator,b7f86598b002c99a6be96026443217b6af3c561d,390,594,234194027-cpu/xianclaw,resources/skills/skill-creator/SKILL.md,,https://github.com/234194027-cpu/xianclaw/blob/HEAD/resources/skills/skill-creator/SKILL.md,MIT,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
27,document-productivity,"Documents, productivity and workplace content",internal-comms,56ea935b74f371bfeb4c7d3c19d5139df866e73b,378,534,anthropics/skills,skills/internal-comms/SKILL.md,ef740771ac901e03fbca3ce4e1c453a96010f30a,https://github.com/anthropics/skills/blob/ef740771ac901e03fbca3ce4e1c453a96010f30a/skills/internal-comms/SKILL.md,Apache-2.0 (upstream file-level),upstream exact Git blob and file-level terms verified,"ideas-only synthesis; no source prose, code, or assets copied"
28,document-productivity,"Documents, productivity and workplace content",docx,664663895bcd11b88a632301d830b313cbabb845,367,556,anthropics/skills,skills/docx/SKILL.md,ef740771ac901e03fbca3ce4e1c453a96010f30a,https://github.com/anthropics/skills/blob/ef740771ac901e03fbca3ce4e1c453a96010f30a/skills/docx/SKILL.md,Anthropic file-level terms (source-available),upstream exact Git blob and file-level terms verified,"ideas-only synthesis; no source prose, code, or assets copied"
29,interface-design,"UI/UX, frontend, visual and brand design",ui-ux-pro-max,a64d6c233a6293c05ab70f67156cc7e30284232a,367,495,7irelo/aptiverse,web/.claude/skills/ui-ux-pro-max/SKILL.md,,https://github.com/7irelo/aptiverse/blob/HEAD/web/.claude/skills/ui-ux-pro-max/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
30,interface-design,"UI/UX, frontend, visual and brand design",web-design-guidelines,ceae92ab319216a68274168fba9b63b998b65997,359,488,00gxd14g/my-skills,web-design-guidelines/web-design-guidelines/SKILL.md,,https://github.com/00gxd14g/my-skills/blob/HEAD/web-design-guidelines/web-design-guidelines/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
31,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,writing-skills,c3b73d8b10ba2539da543f069aabf1d156071176,358,452,352astro/byte_e2e_agent,backend/agent/skills/writing-skills/SKILL.md,,https://github.com/352astro/byte_e2e_agent/blob/HEAD/backend/agent/skills/writing-skills/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
32,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,find-skills,114c6637a18676ac99b8bd34ffc7c9da61d072cb,350,460,0xErwin1/nixos,ai/claude/skills/find-skills/SKILL.md,,https://github.com/0xErwin1/nixos/blob/HEAD/ai/claude/skills/find-skills/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
33,application-engineering,"Application, framework, API and data engineering",vercel-composition-patterns,d07025bf943345bc1cf15eb923594f889ff881f0,322,451,00gxd14g/my-skills,web-design-guidelines/vercel-composition-patterns/SKILL.md,,https://github.com/00gxd14g/my-skills/blob/HEAD/web-design-guidelines/vercel-composition-patterns/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
34,application-engineering,"Application, framework, API and data engineering",supabase-postgres-best-practices,d9ef1949f807d0b41ca85d9a0837ad78bf1c58de,320,492,0utLawzz/Quote-Creator-Hub,.migration-backup/.agents/skills/supabase-postgres-best-practices/SKILL.md,,https://github.com/0utLawzz/Quote-Creator-Hub/blob/HEAD/.migration-backup/.agents/skills/supabase-postgres-best-practices/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
35,reasoning-modes,"Interaction, reasoning and response modes",grill-me,9470cfcfe231a35e46494cddbacdd395991afb1e,307,380,0inp/dotfiles,claude/.agents/skills/grill-me/SKILL.md,,https://github.com/0inp/dotfiles/blob/HEAD/claude/.agents/skills/grill-me/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
36,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,find-skills,c797184ee66bbfd8b60c58b5efdb91880ae8e991,300,372,00gxd14g/my-skills,web-design-guidelines/find-skills/SKILL.md,,https://github.com/00gxd14g/my-skills/blob/HEAD/web-design-guidelines/find-skills/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
37,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,dispatching-parallel-agents,33b14859f2bcd944e800d9f4dc4d71940100effa,294,439,123jacksonli/Entrepreneur,.kimi/skills/dispatching-parallel-agents/SKILL.md,,https://github.com/123jacksonli/Entrepreneur/blob/HEAD/.kimi/skills/dispatching-parallel-agents/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
38,software-delivery,Software delivery workflow and quality,diagnose,ed55bda2fdb0d690ea3b80a1cf28bf848c5ad2b5,294,341,071yoon/useful-skills,plugins/useful-skills/skills/diagnose/SKILL.md,,https://github.com/071yoon/useful-skills/blob/HEAD/plugins/useful-skills/skills/diagnose/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
39,software-delivery,Software delivery workflow and quality,finishing-a-development-branch,c308b43b4b6a856f8d721c594f0907af614b8e2e,287,402,25sidhx/withopus,antigravity-skills-main/skills/finishing-a-development-branch/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-skills-main/skills/finishing-a-development-branch/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
40,software-delivery,Software delivery workflow and quality,using-git-worktrees,e153843cd17ae234c1f2446ba55019d6a128e18e,286,350,420company/artemis,skills/cco-superpowers-using-git-worktrees/SKILL.md,,https://github.com/420company/artemis/blob/HEAD/skills/cco-superpowers-using-git-worktrees/SKILL.md,NOASSERTION,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
41,application-engineering,"Application, framework, API and data engineering",vercel-react-best-practices,237988de4a66dd8a71d30a2c24ebe1a86b58d04e,284,320,071yoon/useful-skills,plugins/useful-skills/skills/vercel-react-best-practices/SKILL.md,,https://github.com/071yoon/useful-skills/blob/HEAD/plugins/useful-skills/skills/vercel-react-best-practices/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
42,interface-design,"UI/UX, frontend, visual and brand design",minimalist-ui,44ead27ef04ffe79ade0c6df7fd696dbcf7b246b,282,396,30Sativa/EXE201-PetOmi-Platform,apps/web/.agents/skills/minimalist-ui/SKILL.md,,https://github.com/30Sativa/EXE201-PetOmi-Platform/blob/HEAD/apps/web/.agents/skills/minimalist-ui/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
43,reasoning-modes,"Interaction, reasoning and response modes",zoom-out,1e7a5dc728fed0a85a28c9dfb6e78ce5a81da7db,278,332,071yoon/useful-skills,plugins/useful-skills/skills/zoom-out/SKILL.md,,https://github.com/071yoon/useful-skills/blob/HEAD/plugins/useful-skills/skills/zoom-out/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
44,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,using-superpowers,c8a857024b80bd3a3553cdfac9a92bec3bd0175e,273,315,352astro/byte_e2e_agent,backend/agent/skills/using-superpowers/SKILL.md,,https://github.com/352astro/byte_e2e_agent/blob/HEAD/backend/agent/skills/using-superpowers/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
45,interface-design,"UI/UX, frontend, visual and brand design",industrial-brutalist-ui,f5375b908340e1376ed391232a31c5d82d5babfb,266,393,30x-llc/Monet,skills/craft/brutalist-skill/SKILL.md,,https://github.com/30x-llc/Monet/blob/HEAD/skills/craft/brutalist-skill/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
46,interface-design,"UI/UX, frontend, visual and brand design",frontend-design,decdff43d05908b4c1fc2cfd2d80fc5743440934,265,309,0utLawzz/Quote-Creator-Hub,.migration-backup/.agents/skills/frontend-design/SKILL.md,,https://github.com/0utLawzz/Quote-Creator-Hub/blob/HEAD/.migration-backup/.agents/skills/frontend-design/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
47,interface-design,"UI/UX, frontend, visual and brand design",redesign-existing-projects,c8304f0c9301385e3641b052d6b25b8af11cb6c1,258,357,30Sativa/EXE201-PetOmi-Platform,apps/web/.agents/skills/redesign-existing-projects/SKILL.md,,https://github.com/30Sativa/EXE201-PetOmi-Platform/blob/HEAD/apps/web/.agents/skills/redesign-existing-projects/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
48,application-engineering,"Application, framework, API and data engineering",vercel-react-native-skills,73401865dd7440a43c5243b107a3763e0d2f4aae,255,340,00gxd14g/my-skills,web-design-guidelines/vercel-react-native-skills/SKILL.md,,https://github.com/00gxd14g/my-skills/blob/HEAD/web-design-guidelines/vercel-react-native-skills/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
49,reasoning-modes,"Interaction, reasoning and response modes",caveman,85770a38992a7c74d2b3467b03fe5bd4b1287fe6,251,311,18studio/ai_fastapi_template,.ai/skills/caveman/SKILL.md,,https://github.com/18studio/ai_fastapi_template/blob/HEAD/.ai/skills/caveman/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
50,application-engineering,"Application, framework, API and data engineering",design-an-interface,d056bd183229ca93bd41cf1b8c10c6fd1f30e75f,250,264,0inp/dotfiles,claude/.agents/skills/design-an-interface/SKILL.md,,https://github.com/0inp/dotfiles/blob/HEAD/claude/.agents/skills/design-an-interface/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
51,interface-design,"UI/UX, frontend, visual and brand design",design-taste-frontend,b72132fcd466da605623ffe96e370b3991fc5285,248,385,0xherve/skills,design-taste-frontend/SKILL.md,,https://github.com/0xherve/skills/blob/HEAD/design-taste-frontend/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
52,application-engineering,"Application, framework, API and data engineering",vercel-react-best-practices,1ad7750e572f8e28ce21090dc1049fa7eecd8cae,241,444,0xkynz/codekit,templates/skills/vercel-react-best-practices/SKILL.md,,https://github.com/0xkynz/codekit/blob/HEAD/templates/skills/vercel-react-best-practices/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
53,application-engineering,"Application, framework, API and data engineering",next-best-practices,437896b40cc30d87f617661c4f12ba424d303fe4,241,342,00gxd14g/my-skills,next-best-practices/SKILL.md,,https://github.com/00gxd14g/my-skills/blob/HEAD/next-best-practices/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
54,software-delivery,Software delivery workflow and quality,executing-plans,e67f94c57322affec23f8a02268834b2d0e9ae70,238,288,25sidhx/withopus,antigravity-skills-main/skills/executing-plans/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-skills-main/skills/executing-plans/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
55,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,write-a-skill,7339c8a38d6c2e1ee5fd721327bca3441a9408be,235,279,2026-kookmin-capstone/Krip,frontend/skills-main/skills/productivity/write-a-skill/SKILL.md,,https://github.com/2026-kookmin-capstone/Krip/blob/HEAD/frontend/skills-main/skills/productivity/write-a-skill/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
56,interface-design,"UI/UX, frontend, visual and brand design",gpt-taste,03ed209b8fdc0a3cd6bccf8a5b3bfffe56aa4558,233,344,Alvaro-gonzalez05/aguslanding,.augment/skills/gpt-taste/SKILL.md,,https://github.com/Alvaro-gonzalez05/aguslanding/blob/HEAD/.augment/skills/gpt-taste/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
57,software-delivery,Software delivery workflow and quality,writing-plans,0d9c00ba7c3107e76fd0fb71f7f8e337e64b5037,233,295,420company/artemis,skills/cco-superpowers-writing-plans/SKILL.md,,https://github.com/420company/artemis/blob/HEAD/skills/cco-superpowers-writing-plans/SKILL.md,NOASSERTION,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
58,software-delivery,Software delivery workflow and quality,finishing-a-development-branch,43da0ae169d3e7ee0f4586cf720430829ad2f426,228,268,352astro/byte_e2e_agent,backend/agent/skills/finishing-a-development-branch/SKILL.md,,https://github.com/352astro/byte_e2e_agent/blob/HEAD/backend/agent/skills/finishing-a-development-branch/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
59,software-delivery,Software delivery workflow and quality,requesting-code-review,f0e33952c8d614b8d0d3fd3f037b81c91b148f39,225,342,123jacksonli/Entrepreneur,.kimi/skills/requesting-code-review/SKILL.md,,https://github.com/123jacksonli/Entrepreneur/blob/HEAD/.kimi/skills/requesting-code-review/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
60,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,setup-matt-pocock-skills,1ebc6e14c126792dd48d946beb983e7519a7dac4,222,279,2026-kookmin-capstone/Krip,frontend/skills-main/skills/engineering/setup-matt-pocock-skills/SKILL.md,,https://github.com/2026-kookmin-capstone/Krip/blob/HEAD/frontend/skills-main/skills/engineering/setup-matt-pocock-skills/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
61,game-development,Game and immersive development,game-design,4dea97a8c9759cb81a7541c504a2dbba9c4a3e64,222,279,25sidhx/withopus,antigravity-kit-main/antigravity-kit-main/.agent/skills/game-development/game-design/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-kit-main/antigravity-kit-main/.agent/skills/game-development/game-design/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
62,interface-design,"UI/UX, frontend, visual and brand design",high-end-visual-design,4038f41ec0137ec92e98ed0151fe3b7038b9329e,221,301,30x-llc/Monet,skills/craft/soft-skill/SKILL.md,,https://github.com/30x-llc/Monet/blob/HEAD/skills/craft/soft-skill/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
63,agent-tooling-and-orchestration,Agent/skill meta-tooling and orchestration,skill-creator,40699358f2f8098e860838cd68b0382a31c72262,219,331,8b-is/8b-is-mp,plugins/compound-engineering/skills/skill-creator/SKILL.md,,https://github.com/8b-is/8b-is-mp/blob/HEAD/plugins/compound-engineering/skills/skill-creator/SKILL.md,MIT,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
64,interface-design,"UI/UX, frontend, visual and brand design",tailwind-patterns,a5830a8675523c1397288e92ff66d9c6724f4503,219,278,25sidhx/withopus,antigravity-kit-main/antigravity-kit-main/.agent/skills/tailwind-patterns/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-kit-main/antigravity-kit-main/.agent/skills/tailwind-patterns/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
65,game-development,Game and immersive development,game-audio,77ad3c257a12c7a88740161f3c086203fd2775db,219,266,25sidhx/withopus,antigravity-kit-main/antigravity-kit-main/.agent/skills/game-development/game-audio/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-kit-main/antigravity-kit-main/.agent/skills/game-development/game-audio/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
66,game-development,Game and immersive development,pc-games,6be120e7769b76216f2dfb1f28b7e8727a3e8f03,217,271,25sidhx/withopus,antigravity-kit-main/antigravity-kit-main/.agent/skills/game-development/pc-games/SKILL.md,,https://github.com/25sidhx/withopus/blob/HEAD/antigravity-kit-main/antigravity-kit-main/.agent/skills/game-development/pc-games/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
67,application-engineering,"Application, framework, API and data engineering",api-design,a45aca06d84dfd2a5297ba162704d456574a6df8,216,343,0xAlgoRhythm/TranscriptRegistry,.claude/.agents/skills/api-design/SKILL.md,,https://github.com/0xAlgoRhythm/TranscriptRegistry/blob/HEAD/.claude/.agents/skills/api-design/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
68,interface-design,"UI/UX, frontend, visual and brand design",ckm:ui-styling,f2a8f8dd25042425387d23f35b53e5c237178dcf,212,254,99anujb/Portfolio,ui-ux-pro-max-skill-main/.claude/skills/ui-styling/SKILL.md,,https://github.com/99anujb/Portfolio/blob/HEAD/ui-ux-pro-max-skill-main/.claude/skills/ui-styling/SKILL.md,unknown,observed copy; upstream not verified,"ideas-only synthesis; no source prose, code, or assets copied"
